Food_Item,Category,Calories (kcal),Protein (g),Carbohydrates (g),Fat (g),Fiber (g),Sugars (g),Meal_Type,Water_Intake (ml),Sodium (mg) (g),Cholesterol (mg) (g),Protein (g) per 100kcal,Fat (g) per 100kcal,Carbohydrates (g) per 100kcal,Fiber (g) per 100kcal,PCA1,PCA2,Cluster,Protein (g)_risk,Fiber (g)_risk
Scrambled Eggs (2 large),Protein/Dairy,180,12.0,2.0,14.0,0.0,1.0,Breakfast,250,0.18,0.37,6.666666666666667,7.777777777777778,1.1111111111111112,0.0,2.697981410853008,-4.330128319129804,0,1,1
Whole Wheat Toast (1 slice),Grain,80,4.0,14.0,1.0,2.0,2.0,Breakfast,0,0.14,0.0,5.0,1.25,17.5,2.5,-0.8718581125621797,0.1043036228973997,1,1,1
Coffee (black),Beverage,5,0.3,0.0,0.1,0.0,0.0,Breakfast,0,0.005,0.0,6.0,2.0,0.0,0.0,-2.194501806177191,-0.5031112065812496,1,1,1
Banana,Fruit,105,1.3,27.0,0.4,3.1,14.0,Breakfast,0,0.001,0.0,1.238095238095238,0.3809523809523809,25.71428571428571,2.952380952380953,-0.6149333684310839,1.7591347250418488,2,1,1
Grilled Chicken Salad,Meal/Protein,350,16.75,10.0,20.0,5.0,4.0,Lunch,500,0.4,0.08,4.785714285714286,5.714285714285714,2.857142857142857,1.4285714285714286,3.1112322747614805,-1.1969494235401217,0,0,1
Apple,Fruit,95,0.5,25.0,0.3,4.4,19.0,Snack,0,0.002,0.0,0.5263157894736842,0.3157894736842105,26.31578947368421,4.631578947368421,-0.5082430617279242,2.2623710637091627,2,1,1
Salmon (4oz grilled),Protein/Fish,230,16.75,0.0,14.0,0.0,0.0,Dinner,250,0.06,0.06,7.282608695652174,6.086956521739131,0.0,0.0,0.8823383026843703,-1.9798042962243037,1,0,1
Quinoa (1 cup cooked),Grain,222,8.0,39.0,3.6,5.0,1.0,Dinner,0,0.013,0.0,3.603603603603604,1.6216216216216215,17.56756756756757,2.2522522522522523,0.7856680185942108,1.0341314527601626,2,1,1
Steamed Broccoli (1 cup),Vegetable,55,3.7,11.2,0.6,5.1,2.0,Dinner,0,0.04,0.0,6.727272727272728,1.0909090909090908,20.36363636363636,9.272727272727272,-0.7455402073286805,0.4322307099281197,1,1,1
Greek Yogurt (plain 1 cup),Dairy,150,16.75,8.0,3.0,0.0,7.0,Snack,250,0.085,0.01,11.166666666666666,2.0,5.333333333333334,0.0,0.0023175124527993,-0.5624200828056745,1,0,1
Oatmeal (1 cup cooked),Grain,160,6.0,28.0,3.0,4.0,1.0,Breakfast,250,0.002,0.0,3.75,1.875,17.5,2.5,0.0238559035101727,0.6565785445753073,2,1,1
Blueberries (1/2 cup),Fruit,42,0.5,11.0,0.2,1.8,7.0,Breakfast,0,0.001,0.0,1.1904761904761905,0.4761904761904762,26.190476190476197,4.285714285714286,-1.491317855970438,0.5887975244673759,1,1,1
Almonds (1 oz),Nut,164,6.0,6.0,14.0,3.5,1.0,Snack,0,0.001,0.0,3.658536585365853,8.536585365853659,3.658536585365853,2.1341463414634148,0.0586645136914856,-0.3386247664413894,1,1,1
Turkey Sandwich (on wheat),Meal/Processed,340,16.75,34.0,12.0,5.0,6.0,Lunch,500,0.85,0.05,4.926470588235294,3.5294117647058822,10.0,1.4705882352941175,3.56591375173094,-0.0671394306658082,0,0,1
